,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
339,"frozenset({'A P Gurusinha3', 'A Ranatunga5'})",frozenset({'won'}),0.8333333333333334,1.0,0.8333333333333334,1.0,1.0,0.0,inf
399,"frozenset({'A P Gurusinha3', 'A Ranatunga6'})",frozenset({'won'}),0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,0.0,inf
468,"frozenset({'G P Wickramasinghe10', 'A P Gurusinha3'})",frozenset({'won'}),0.5,1.0,0.5,1.0,1.0,0.0,inf
522,"frozenset({'A P Gurusinha3', 'G P Wickramasinghe11'})",frozenset({'won'}),0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,0.0,inf
578,"frozenset({'H D P K Dharmasena8', 'A P Gurusinha3'})",frozenset({'won'}),0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.0,inf
633,"frozenset({'A P Gurusinha3', 'H D P K Dharmasena9'})",frozenset({'won'}),0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.0,inf
685,"frozenset({'A P Gurusinha3', 'H P Tillakaratne6'})",frozenset({'won'}),0.8333333333333334,1.0,0.8333333333333334,1.0,1.0,0.0,inf
727,"frozenset({'A P Gurusinha3', 'H P Tillakaratne7'})",frozenset({'won'}),0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,0.0,inf
771,"frozenset({'A P Gurusinha3', 'K R Pushpakumara10'})",frozenset({'won'}),0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.0,inf
806,"frozenset({'A P Gurusinha3', 'M Muralitharan10'})",frozenset({'won'}),0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,0.0,inf
846,"frozenset({'A P Gurusinha3', 'M Muralitharan11'})",frozenset({'won'}),0.8333333333333334,1.0,0.8333333333333334,1.0,1.0,0.0,inf
889,"frozenset({'A P Gurusinha3', 'P A de Silva4'})",frozenset({'won'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
925,"frozenset({'A P Gurusinha3', 'R S Kaluwitharana2'})",frozenset({'won'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
942,"frozenset({'A P Gurusinha3', 'R S Mahanama5'})",frozenset({'won'}),0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,0.0,inf
963,"frozenset({'A P Gurusinha3', 'R S Mahanama7'})",frozenset({'won'}),0.8333333333333334,1.0,0.8333333333333334,1.0,1.0,0.0,inf
981,"frozenset({'A P Gurusinha3', 'S T Jayasuriya1'})",frozenset({'won'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
986,"frozenset({'W P U J C Vaas8', 'A P Gurusinha3'})",frozenset({'won'}),0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.0,inf
993,"frozenset({'A P Gurusinha3', 'W P U J C Vaas9'})",frozenset({'won'}),0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.0,inf
1028,"frozenset({'G P Wickramasinghe10', 'A Ranatunga5'})",frozenset({'won'}),0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.0,inf
1079,"frozenset({'G P Wickramasinghe11', 'A Ranatunga5'})",frozenset({'won'}),0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,0.0,inf
1112,"frozenset({'H D P K Dharmasena8', 'A Ranatunga5'})",frozenset({'won'}),0.5,1.0,0.5,1.0,1.0,0.0,inf
1164,"frozenset({'A Ranatunga5', 'H D P K Dharmasena9'})",frozenset({'won'}),0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.0,inf
1220,"frozenset({'A Ranatunga5', 'H P Tillakaratne6'})",frozenset({'won'}),0.8333333333333334,1.0,0.8333333333333334,1.0,1.0,0.0,inf
1265,"frozenset({'K R Pushpakumara10', 'A Ranatunga5'})",frozenset({'won'}),0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.0,inf
1301,"frozenset({'M Muralitharan10', 'A Ranatunga5'})",frozenset({'won'}),0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,0.0,inf
1322,"frozenset({'M Muralitharan11', 'A Ranatunga5'})",frozenset({'won'}),0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.0,inf
1351,"frozenset({'P A de Silva4', 'A Ranatunga5'})",frozenset({'won'}),0.8333333333333334,1.0,0.8333333333333334,1.0,1.0,0.0,inf
1378,"frozenset({'A Ranatunga5', 'R S Kaluwitharana2'})",frozenset({'won'}),0.8333333333333334,1.0,0.8333333333333334,1.0,1.0,0.0,inf
1399,"frozenset({'R S Mahanama7', 'A Ranatunga5'})",frozenset({'won'}),0.8333333333333334,1.0,0.8333333333333334,1.0,1.0,0.0,inf
1413,"frozenset({'S T Jayasuriya1', 'A Ranatunga5'})",frozenset({'won'}),0.8333333333333334,1.0,0.8333333333333334,1.0,1.0,0.0,inf
1419,"frozenset({'W P U J C Vaas8', 'A Ranatunga5'})",frozenset({'won'}),0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.0,inf
1424,"frozenset({'A Ranatunga5', 'W P U J C Vaas9'})",frozenset({'won'}),0.5,1.0,0.5,1.0,1.0,0.0,inf
1475,"frozenset({'G P Wickramasinghe10', 'A Ranatunga6'})",frozenset({'won'}),0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,0.0,inf
1523,"frozenset({'H D P K Dharmasena8', 'A Ranatunga6'})",frozenset({'won'}),0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,0.0,inf
1566,"frozenset({'A Ranatunga6', 'H P Tillakaratne7'})",frozenset({'won'}),0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,0.0,inf
1601,"frozenset({'M Muralitharan11', 'A Ranatunga6'})",frozenset({'won'}),0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,0.0,inf
1631,"frozenset({'P A de Silva4', 'A Ranatunga6'})",frozenset({'won'}),0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,0.0,inf
1656,"frozenset({'A Ranatunga6', 'R S Kaluwitharana2'})",frozenset({'won'}),0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,0.0,inf
1673,"frozenset({'R S Mahanama5', 'A Ranatunga6'})",frozenset({'won'}),0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,0.0,inf
1685,"frozenset({'S T Jayasuriya1', 'A Ranatunga6'})",frozenset({'won'}),0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,0.0,inf
1692,"frozenset({'A Ranatunga6', 'W P U J C Vaas9'})",frozenset({'won'}),0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,0.0,inf
1739,"frozenset({'G P Wickramasinghe10', 'H D P K Dharmasena8'})",frozenset({'won'}),0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.0,inf
1787,"frozenset({'G P Wickramasinghe10', 'H D P K Dharmasena9'})",frozenset({'won'}),0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,0.0,inf
1812,"frozenset({'G P Wickramasinghe10', 'H P Tillakaratne6'})",frozenset({'won'}),0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.0,inf
1851,"frozenset({'G P Wickramasinghe10', 'H P Tillakaratne7'})",frozenset({'won'}),0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,0.0,inf
1896,"frozenset({'G P Wickramasinghe10', 'M Muralitharan11'})",frozenset({'won'}),0.5,1.0,0.5,1.0,1.0,0.0,inf
1934,"frozenset({'G P Wickramasinghe10', 'P A de Silva4'})",frozenset({'won'}),0.5,1.0,0.5,1.0,1.0,0.0,inf
1967,"frozenset({'G P Wickramasinghe10', 'R S Kaluwitharana2'})",frozenset({'won'}),0.5,1.0,0.5,1.0,1.0,0.0,inf
1984,"frozenset({'G P Wickramasinghe10', 'R S Mahanama5'})",frozenset({'won'}),0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,0.0,inf
1998,"frozenset({'G P Wickramasinghe10', 'R S Mahanama7'})",frozenset({'won'}),0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.0,inf
