,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
214,"frozenset({'A Ranatunga', 'A P Gurusinha'})",frozenset({'won'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
269,"frozenset({'A P Gurusinha', 'G P Wickramasinghe'})",frozenset({'won'}),0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.0,inf
1289,"frozenset({'H D P K Dharmasena', 'S T Jayasuriya'})",frozenset({'won'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
1061,"frozenset({'R S Mahanama', 'G P Wickramasinghe'})",frozenset({'won'}),0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.0,inf
1073,"frozenset({'G P Wickramasinghe', 'S T Jayasuriya'})",frozenset({'won'}),0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.0,inf
1080,"frozenset({'G P Wickramasinghe', 'W P U J C Vaas'})",frozenset({'won'}),0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.0,inf
1126,"frozenset({'H P Tillakaratne', 'H D P K Dharmasena'})",frozenset({'won'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
1169,"frozenset({'H D P K Dharmasena', 'K R Pushpakumara'})",frozenset({'won'}),0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.0,inf
1204,"frozenset({'M Muralitharan', 'H D P K Dharmasena'})",frozenset({'won'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
1235,"frozenset({'H D P K Dharmasena', 'P A de Silva'})",frozenset({'won'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
1258,"frozenset({'R S Kaluwitharana', 'H D P K Dharmasena'})",frozenset({'won'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
1276,"frozenset({'R S Mahanama', 'H D P K Dharmasena'})",frozenset({'won'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
1295,"frozenset({'H D P K Dharmasena', 'W P U J C Vaas'})",frozenset({'won'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
1020,"frozenset({'G P Wickramasinghe', 'P A de Silva'})",frozenset({'won'}),0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.0,inf
1337,"frozenset({'H P Tillakaratne', 'K R Pushpakumara'})",frozenset({'won'}),0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.0,inf
