,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'D'}),frozenset({'won'}),0.4722222222222222,0.6666666666666666,0.3333333333333333,0.7058823529411764,1.0588235294117647,0.018518518518518545,1.1333333333333333
1,"frozenset({'AD Hales', 'D'})",frozenset({'won'}),0.23148148148148148,0.6666666666666666,0.16666666666666666,0.72,1.08,0.012345679012345678,1.1904761904761905
2,"frozenset({'AU Rashid', 'D'})",frozenset({'won'}),0.4166666666666667,0.6666666666666666,0.3148148148148148,0.7555555555555555,1.1333333333333333,0.037037037037037035,1.3636363636363638
3,"frozenset({'BA Stokes', 'D'})",frozenset({'won'}),0.35185185185185186,0.6666666666666666,0.25,0.7105263157894737,1.0657894736842106,0.015432098765432112,1.1515151515151516
4,"frozenset({'D', 'CR Woakes'})",frozenset({'won'}),0.28703703703703703,0.6666666666666666,0.19444444444444445,0.6774193548387097,1.0161290322580647,0.0030864197530864335,1.0333333333333337
5,"frozenset({'DJ Willey', 'D'})",frozenset({'won'}),0.17592592592592593,0.6666666666666666,0.12962962962962962,0.7368421052631579,1.105263157894737,0.012345679012345678,1.2666666666666666
6,"frozenset({'D', 'EJG Morgan'})",frozenset({'won'}),0.46296296296296297,0.6666666666666666,0.32407407407407407,0.7,1.05,0.015432098765432112,1.1111111111111112
7,"frozenset({'JC Buttler', 'D'})",frozenset({'won'}),0.39814814814814814,0.6666666666666666,0.2777777777777778,0.6976744186046512,1.0465116279069768,0.012345679012345734,1.1025641025641026
8,"frozenset({'JE Root', 'D'})",frozenset({'won'}),0.4444444444444444,0.6666666666666666,0.32407407407407407,0.7291666666666667,1.0937500000000002,0.02777777777777779,1.2307692307692313
9,"frozenset({'JJ Roy', 'D'})",frozenset({'won'}),0.3425925925925926,0.6666666666666666,0.25925925925925924,0.7567567567567567,1.135135135135135,0.030864197530864168,1.3703703703703702
10,"frozenset({'JM Bairstow', 'D'})",frozenset({'won'}),0.3055555555555556,0.6666666666666666,0.2222222222222222,0.7272727272727272,1.0909090909090908,0.01851851851851849,1.2222222222222219
11,"frozenset({'D', 'LE Plunkett'})",frozenset({'won'}),0.26851851851851855,0.6666666666666666,0.24074074074074073,0.8965517241379309,1.3448275862068966,0.061728395061728364,3.2222222222222197
12,"frozenset({'MA Wood', 'D'})",frozenset({'won'}),0.26851851851851855,0.6666666666666666,0.18518518518518517,0.689655172413793,1.0344827586206897,0.006172839506172811,1.074074074074074
13,"frozenset({'MM Ali', 'D'})",frozenset({'won'}),0.35185185185185186,0.6666666666666666,0.24074074074074073,0.6842105263157894,1.026315789473684,0.006172839506172839,1.0555555555555554
14,"frozenset({'AU Rashid', 'AD Hales', 'D'})",frozenset({'won'}),0.21296296296296297,0.6666666666666666,0.1574074074074074,0.7391304347826088,1.1086956521739133,0.015432098765432112,1.2777777777777781
15,"frozenset({'BA Stokes', 'AD Hales', 'D'})",frozenset({'won'}),0.17592592592592593,0.6666666666666666,0.12037037037037036,0.6842105263157894,1.026315789473684,0.0030864197530864196,1.0555555555555554
16,"frozenset({'D', 'AD Hales', 'EJG Morgan'})",frozenset({'won'}),0.2222222222222222,0.6666666666666666,0.1574074074074074,0.7083333333333334,1.0625000000000002,0.009259259259259273,1.1428571428571432
17,"frozenset({'JC Buttler', 'AD Hales', 'D'})",frozenset({'won'}),0.17592592592592593,0.6666666666666666,0.12962962962962962,0.7368421052631579,1.105263157894737,0.012345679012345678,1.2666666666666666
18,"frozenset({'JE Root', 'AD Hales', 'D'})",frozenset({'won'}),0.2037037037037037,0.6666666666666666,0.1574074074074074,0.7727272727272728,1.1590909090909094,0.02160493827160495,1.4666666666666675
19,"frozenset({'JJ Roy', 'AD Hales', 'D'})",frozenset({'won'}),0.19444444444444445,0.6666666666666666,0.1388888888888889,0.7142857142857143,1.0714285714285716,0.009259259259259273,1.166666666666667
20,"frozenset({'D', 'AD Hales', 'LE Plunkett'})",frozenset({'won'}),0.1388888888888889,0.6666666666666666,0.12037037037037036,0.8666666666666666,1.3,0.027777777777777776,2.4999999999999987
21,"frozenset({'MA Wood', 'AD Hales', 'D'})",frozenset({'won'}),0.14814814814814814,0.6666666666666666,0.1111111111111111,0.75,1.125,0.012345679012345678,1.3333333333333335
22,"frozenset({'MM Ali', 'AD Hales', 'D'})",frozenset({'won'}),0.17592592592592593,0.6666666666666666,0.1388888888888889,0.7894736842105263,1.1842105263157896,0.02160493827160495,1.5833333333333337
23,"frozenset({'AU Rashid', 'BA Stokes', 'D'})",frozenset({'won'}),0.3333333333333333,0.6666666666666666,0.24074074074074073,0.7222222222222222,1.0833333333333335,0.018518518518518517,1.2000000000000002
24,"frozenset({'AU Rashid', 'D', 'CR Woakes'})",frozenset({'won'}),0.23148148148148148,0.6666666666666666,0.17592592592592593,0.76,1.1400000000000001,0.02160493827160495,1.388888888888889
25,"frozenset({'AU Rashid', 'DJ Willey', 'D'})",frozenset({'won'}),0.16666666666666666,0.6666666666666666,0.12962962962962962,0.7777777777777778,1.1666666666666667,0.018518518518518517,1.5000000000000002
26,"frozenset({'AU Rashid', 'D', 'EJG Morgan'})",frozenset({'won'}),0.4074074074074074,0.6666666666666666,0.3055555555555556,0.7500000000000001,1.1250000000000002,0.03395061728395066,1.3333333333333341
27,"frozenset({'JC Buttler', 'AU Rashid', 'D'})",frozenset({'won'}),0.35185185185185186,0.6666666666666666,0.25925925925925924,0.7368421052631579,1.105263157894737,0.024691358024691357,1.2666666666666666
28,"frozenset({'JE Root', 'AU Rashid', 'D'})",frozenset({'won'}),0.3888888888888889,0.6666666666666666,0.3055555555555556,0.7857142857142858,1.1785714285714288,0.046296296296296335,1.5555555555555565
29,"frozenset({'AU Rashid', 'JJ Roy', 'D'})",frozenset({'won'}),0.32407407407407407,0.6666666666666666,0.25,0.7714285714285715,1.1571428571428573,0.03395061728395063,1.4583333333333337
30,"frozenset({'JM Bairstow', 'AU Rashid', 'D'})",frozenset({'won'}),0.2962962962962963,0.6666666666666666,0.2222222222222222,0.75,1.125,0.024691358024691357,1.3333333333333335
31,"frozenset({'AU Rashid', 'D', 'LE Plunkett'})",frozenset({'won'}),0.25925925925925924,0.6666666666666666,0.23148148148148148,0.8928571428571429,1.3392857142857144,0.058641975308641986,3.111111111111113
32,"frozenset({'MA Wood', 'AU Rashid', 'D'})",frozenset({'won'}),0.25,0.6666666666666666,0.17592592592592593,0.7037037037037037,1.0555555555555556,0.009259259259259273,1.1250000000000002
33,"frozenset({'MM Ali', 'AU Rashid', 'D'})",frozenset({'won'}),0.3055555555555556,0.6666666666666666,0.2222222222222222,0.7272727272727272,1.0909090909090908,0.01851851851851849,1.2222222222222219
34,"frozenset({'D', 'BA Stokes', 'CR Woakes'})",frozenset({'won'}),0.24074074074074073,0.6666666666666666,0.17592592592592593,0.7307692307692308,1.0961538461538463,0.015432098765432112,1.2380952380952386
35,"frozenset({'D', 'BA Stokes', 'EJG Morgan'})",frozenset({'won'}),0.35185185185185186,0.6666666666666666,0.25,0.7105263157894737,1.0657894736842106,0.015432098765432112,1.1515151515151516
36,"frozenset({'JC Buttler', 'BA Stokes', 'D'})",frozenset({'won'}),0.3148148148148148,0.6666666666666666,0.23148148148148148,0.7352941176470588,1.1029411764705883,0.02160493827160495,1.259259259259259
37,"frozenset({'JE Root', 'BA Stokes', 'D'})",frozenset({'won'}),0.32407407407407407,0.6666666666666666,0.24074074074074073,0.7428571428571428,1.1142857142857143,0.024691358024691357,1.296296296296296
38,"frozenset({'JJ Roy', 'BA Stokes', 'D'})",frozenset({'won'}),0.26851851851851855,0.6666666666666666,0.19444444444444445,0.7241379310344827,1.086206896551724,0.015432098765432084,1.208333333333333
39,"frozenset({'JM Bairstow', 'BA Stokes', 'D'})",frozenset({'won'}),0.23148148148148148,0.6666666666666666,0.1574074074074074,0.68,1.0200000000000002,0.0030864197530864335,1.041666666666667
40,"frozenset({'D', 'BA Stokes', 'LE Plunkett'})",frozenset({'won'}),0.21296296296296297,0.6666666666666666,0.18518518518518517,0.8695652173913043,1.3043478260869565,0.043209876543209874,2.5555555555555554
41,"frozenset({'MM Ali', 'BA Stokes', 'D'})",frozenset({'won'}),0.2777777777777778,0.6666666666666666,0.19444444444444445,0.7,1.05,0.009259259259259273,1.1111111111111112
42,"frozenset({'D', 'CR Woakes', 'EJG Morgan'})",frozenset({'won'}),0.28703703703703703,0.6666666666666666,0.19444444444444445,0.6774193548387097,1.0161290322580647,0.0030864197530864335,1.0333333333333337
43,"frozenset({'JC Buttler', 'D', 'CR Woakes'})",frozenset({'won'}),0.2777777777777778,0.6666666666666666,0.19444444444444445,0.7,1.05,0.009259259259259273,1.1111111111111112
44,"frozenset({'JE Root', 'D', 'CR Woakes'})",frozenset({'won'}),0.2777777777777778,0.6666666666666666,0.19444444444444445,0.7,1.05,0.009259259259259273,1.1111111111111112
45,"frozenset({'JJ Roy', 'D', 'CR Woakes'})",frozenset({'won'}),0.18518518518518517,0.6666666666666666,0.1388888888888889,0.7500000000000001,1.1250000000000002,0.015432098765432112,1.3333333333333341
46,"frozenset({'JM Bairstow', 'D', 'CR Woakes'})",frozenset({'won'}),0.17592592592592593,0.6666666666666666,0.12962962962962962,0.7368421052631579,1.105263157894737,0.012345679012345678,1.2666666666666666
47,"frozenset({'D', 'CR Woakes', 'LE Plunkett'})",frozenset({'won'}),0.14814814814814814,0.6666666666666666,0.1388888888888889,0.9375000000000001,1.4062500000000002,0.04012345679012347,5.333333333333344
48,"frozenset({'D', 'DJ Willey', 'EJG Morgan'})",frozenset({'won'}),0.16666666666666666,0.6666666666666666,0.12037037037037036,0.7222222222222222,1.0833333333333335,0.009259259259259259,1.2000000000000002
49,"frozenset({'JE Root', 'DJ Willey', 'D'})",frozenset({'won'}),0.1574074074074074,0.6666666666666666,0.12037037037037036,0.7647058823529411,1.1470588235294117,0.015432098765432098,1.4166666666666665
50,"frozenset({'JM Bairstow', 'DJ Willey', 'D'})",frozenset({'won'}),0.14814814814814814,0.6666666666666666,0.1111111111111111,0.75,1.125,0.012345679012345678,1.3333333333333335
51,"frozenset({'JC Buttler', 'D', 'EJG Morgan'})",frozenset({'won'}),0.3888888888888889,0.6666666666666666,0.26851851851851855,0.6904761904761906,1.035714285714286,0.0092592592592593,1.0769230769230773
52,"frozenset({'JE Root', 'D', 'EJG Morgan'})",frozenset({'won'}),0.4351851851851852,0.6666666666666666,0.3148148148148148,0.723404255319149,1.0851063829787235,0.024691358024691412,1.2051282051282055
