Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
lost,IR Bell,IR Bell1,MM Ali,MM Ali2,JWA Taylor,JWA Taylor3,JE Root,JE Root4,EJG Morgan,EJG Morgan5,RS Bopara,RS Bopara6,JC Buttler,JC Buttler7,CR Woakes,CR Woakes8,CJ Jordan,CJ Jordan9,SCJ Broad,SCJ Broad10,ST Finn,ST Finn11
won,IR Bell,IR Bell1,MM Ali,MM Ali2,JWA Taylor,JWA Taylor3,JE Root,JE Root4,EJG Morgan,EJG Morgan5,RS Bopara,RS Bopara6,JC Buttler,JC Buttler7,CR Woakes,CR Woakes8,SCJ Broad,SCJ Broad9,JM Anderson,JM Anderson10,ST Finn,ST Finn11
lost,MM Ali,MM Ali1,IR Bell,IR Bell2,JWA Taylor,JWA Taylor3,JE Root,JE Root4,EJG Morgan,EJG Morgan5,JC Buttler,JC Buttler6,RS Bopara,RS Bopara7,CR Woakes,CR Woakes8,SCJ Broad,SCJ Broad9,JM Anderson,JM Anderson10,ST Finn,ST Finn11
won,IR Bell,IR Bell1,MM Ali,MM Ali2,JWA Taylor,JWA Taylor3,JE Root,JE Root4,EJG Morgan,EJG Morgan5,RS Bopara,RS Bopara6,JC Buttler,JC Buttler7,CR Woakes,CR Woakes8,SCJ Broad,SCJ Broad9,JM Anderson,JM Anderson10,ST Finn,ST Finn11
lost,MM Ali,MM Ali1,IR Bell,IR Bell2,JWA Taylor,JWA Taylor3,JE Root,JE Root4,EJG Morgan,EJG Morgan5,RS Bopara,RS Bopara6,JC Buttler,JC Buttler7,CR Woakes,CR Woakes8,SCJ Broad,SCJ Broad9,ST Finn,ST Finn10,JM Anderson,JM Anderson11
lost,MM Ali,MM Ali1,IR Bell,IR Bell2,GS Ballance,GS Ballance3,JE Root,JE Root4,EJG Morgan,EJG Morgan5,JWA Taylor,JWA Taylor6,JC Buttler,JC Buttler7,CR Woakes,CR Woakes8,SCJ Broad,SCJ Broad9,ST Finn,ST Finn10,JM Anderson,JM Anderson11
lost,IR Bell,IR Bell1,MM Ali,MM Ali2,GS Ballance,GS Ballance3,JE Root,JE Root4,EJG Morgan,EJG Morgan5,JWA Taylor,JWA Taylor6,JC Buttler,JC Buttler7,CR Woakes,CR Woakes8,SCJ Broad,SCJ Broad9,ST Finn,ST Finn10,JM Anderson,JM Anderson11
lost,MM Ali,MM Ali1,IR Bell,IR Bell2,GS Ballance,GS Ballance3,JE Root,JE Root4,EJG Morgan,EJG Morgan5,JWA Taylor,JWA Taylor6,JC Buttler,JC Buttler7,CR Woakes,CR Woakes8,SCJ Broad,SCJ Broad9,ST Finn,ST Finn10,JM Anderson,JM Anderson11
lost,MM Ali,MM Ali1,IR Bell,IR Bell2,AD Hales,AD Hales3,JE Root,JE Root4,EJG Morgan,EJG Morgan5,JWA Taylor,JWA Taylor6,JC Buttler,JC Buttler7,CR Woakes,CR Woakes8,CJ Jordan,CJ Jordan9,SCJ Broad,SCJ Broad10,JM Anderson,JM Anderson11
won,AD Hales,AD Hales1,IR Bell,IR Bell2,JWA Taylor,JWA Taylor3,JE Root,JE Root4,EJG Morgan,EJG Morgan5,JC Buttler,JC Buttler6,RS Bopara,RS Bopara7,CJ Jordan,CJ Jordan8,JC Tredwell,JC Tredwell9,SCJ Broad,SCJ Broad10,JM Anderson,JM Anderson11
won,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,SW Billings,SW Billings7,AU Rashid,AU Rashid8,CJ Jordan,CJ Jordan9,LE Plunkett,LE Plunkett10,ST Finn,ST Finn11
lost,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,SW Billings,SW Billings7,AU Rashid,AU Rashid8,LE Plunkett,LE Plunkett9,CJ Jordan,CJ Jordan10,ST Finn,ST Finn11
