Day_Night,Result,Home,Bat,Toss,Opposition,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
D,won,1,2,lost,v Sri Lanka,MJ Guptill,BB McCullum,KS Williamson,TWM Latham,GD Elliott,CJ Anderson,L Ronchi,NL McCullum,AF Milne,MJ McClenaghan,TA Boult
DN,lost,1,1,won,v Sri Lanka,MJ Guptill,BB McCullum,TWM Latham,LRPL Taylor,DL Vettori,CJ Anderson,L Ronchi,NL McCullum,AF Milne,MJ Henry,TA Boult
D,won,1,2,lost,v Sri Lanka,MJ Guptill,BB McCullum,KS Williamson,LRPL Taylor,GD Elliott,CJ Anderson,L Ronchi,DL Vettori,TG Southee,AF Milne,MJ McClenaghan
D,won,1,1,lost,v Sri Lanka,MJ Guptill,BB McCullum,KS Williamson,LRPL Taylor,GD Elliott,CJ Anderson,L Ronchi,NL McCullum,TG Southee,MJ McClenaghan,TA Boult
D,won,1,1,won,v Sri Lanka,MJ Guptill,BB McCullum,KS Williamson,LRPL Taylor,CJ Anderson,L Ronchi,GD Elliott,DL Vettori,KD Mills,TA Boult,MJ McClenaghan
DN,lost,1,2,lost,v Sri Lanka,MJ Guptill,TWM Latham,KS Williamson,LRPL Taylor,GD Elliott,CJ Anderson,L Ronchi,DL Vettori,KD Mills,TG Southee,MJ McClenaghan
DN,won,1,2,won,v Pakistan,MJ Guptill,BB McCullum,TWM Latham,LRPL Taylor,GD Elliott,CJ Anderson,L Ronchi,NL McCullum,KD Mills,AF Milne,TA Boult
DN,won,1,1,won,v Pakistan,MJ Guptill,BB McCullum,TWM Latham,LRPL Taylor,GD Elliott,L Ronchi,NL McCullum,DL Vettori,TG Southee,AF Milne,TA Boult
D,won,1,1,lost,v Sri Lanka,MJ Guptill,BB McCullum,KS Williamson,LRPL Taylor,GD Elliott,CJ Anderson,L Ronchi,DL Vettori,TG Southee,AF Milne,TA Boult
DN,won,1,2,lost,v England,MJ Guptill,BB McCullum,KS Williamson,LRPL Taylor,GD Elliott,CJ Anderson,L Ronchi,DL Vettori,AF Milne,TG Southee,TA Boult
DN,won,1,2,lost,v Australia,MJ Guptill,BB McCullum,KS Williamson,LRPL Taylor,GD Elliott,CJ Anderson,L Ronchi,DL Vettori,AF Milne,TG Southee,TA Boult
D,won,1,2,lost,v Afghanistan,KS Williamson,MJ Guptill,LRPL Taylor,BB McCullum,CJ Anderson,L Ronchi,DL Vettori,TG Southee,GD Elliott,TA Boult,AF Milne
DN,won,1,2,won,v Bangladesh,KS Williamson,MJ Guptill,LRPL Taylor,BB McCullum,CJ Anderson,L Ronchi,DL Vettori,TG Southee,GD Elliott,TA Boult,MJ McClenaghan
