,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
1355,"frozenset({'LRPL Taylor4', 'MJ Guptill1'})",frozenset({'won'}),0.4803921568627451,0.6372549019607843,0.3333333333333333,0.6938775510204082,1.0888540031397176,0.02720107650903497,1.184967320261438
1108,"frozenset({'MJ Guptill1', 'KS Williamson3'})",frozenset({'won'}),0.5,0.6372549019607843,0.3235294117647059,0.6470588235294118,1.0153846153846156,0.004901960784313764,1.027777777777778
1068,"frozenset({'LRPL Taylor4', 'KS Williamson3'})",frozenset({'won'}),0.49019607843137253,0.6372549019607843,0.3235294117647059,0.66,1.035692307692308,0.01114955786236066,1.066897347174164
1413,"frozenset({'TA Boult11', 'LRPL Taylor4'})",frozenset({'won'}),0.47058823529411764,0.6372549019607843,0.3137254901960784,0.6666666666666666,1.0461538461538462,0.013840830449827035,1.088235294117647
4096,"frozenset({'LRPL Taylor4', 'MJ Guptill1', 'KS Williamson3'})",frozenset({'won'}),0.4117647058823529,0.6372549019607843,0.28431372549019607,0.6904761904761905,1.0835164835164837,0.021914648212226107,1.1719457013574661
4190,"frozenset({'TA Boult11', 'LRPL Taylor4', 'KS Williamson3'})",frozenset({'won'}),0.4019607843137255,0.6372549019607843,0.2647058823529412,0.6585365853658537,1.0333958724202628,0.00855440215301806,1.062324929971989
4827,"frozenset({'TA Boult11', 'LRPL Taylor4', 'MJ Guptill1'})",frozenset({'won'}),0.38235294117647056,0.6372549019607843,0.2549019607843137,0.6666666666666666,1.0461538461538462,0.011245674740484435,1.088235294117647
1435,"frozenset({'TWM Latham5', 'LRPL Taylor4'})",frozenset({'won'}),0.3431372549019608,0.6372549019607843,0.22549019607843138,0.6571428571428571,1.0312087912087913,0.0068242983467897145,1.0580065359477124
9237,"frozenset({'TA Boult11', 'LRPL Taylor4', 'MJ Guptill1', 'KS Williamson3'})",frozenset({'won'}),0.3333333333333333,0.6372549019607843,0.22549019607843138,0.6764705882352942,1.0615384615384618,0.013071895424836638,1.1212121212121215
434,"frozenset({'LRPL Taylor4', 'C Munro2'})",frozenset({'won'}),0.28431372549019607,0.6372549019607843,0.20588235294117646,0.7241379310344828,1.1363395225464192,0.02470203767781623,1.314950980392157
1299,"frozenset({'TA Boult11', 'LH Ferguson10'})",frozenset({'won'}),0.29411764705882354,0.6372549019607843,0.20588235294117646,0.7,1.0984615384615384,0.018454440599769306,1.2091503267973855
4950,"frozenset({'TA Boult11', 'TWM Latham5', 'LRPL Taylor4'})",frozenset({'won'}),0.29411764705882354,0.6372549019607843,0.19607843137254902,0.6666666666666666,1.0461538461538462,0.008650519031141862,1.088235294117647
1565,"frozenset({'TWM Latham5', 'TA Boult11'})",frozenset({'won'}),0.30392156862745096,0.6372549019607843,0.19607843137254902,0.6451612903225807,1.012406947890819,0.002402921953094994,1.0222816399286991
