Day_Night,Result,Home,Bat,Toss,Opposition,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
D,lost,0,1,won,v New Zealand,FDM Karunaratne,TM Dilshan,KC Sangakkara,DPMD Jayawardene,AD Mathews,HDRL Thirimanne,BMAJ Mendis,NLTC Perera,KMDN Kulasekara,SMSM Senanayake,RMS Eranga
DN,won,0,2,lost,v New Zealand,FDM Karunaratne,TM Dilshan,KC Sangakkara,DPMD Jayawardene,AD Mathews,HDRL Thirimanne,BMAJ Mendis,NLTC Perera,KMDN Kulasekara,SMSM Senanayake,HMRKB Herath
D,lost,0,1,won,v New Zealand,FDM Karunaratne,TM Dilshan,KC Sangakkara,DPMD Jayawardene,AD Mathews,HDRL Thirimanne,NLTC Perera,BMAJ Mendis,KMDN Kulasekara,SMSM Senanayake,HMRKB Herath
D,lost,0,2,won,v New Zealand,HDRL Thirimanne,TM Dilshan,KC Sangakkara,DPMD Jayawardene,KMDN Kulasekara,BMAJ Mendis,LD Chandimal,NLTC Perera,FDM Karunaratne,SMSM Senanayake,RAS Lakmal
D,lost,0,2,lost,v New Zealand,HDRL Thirimanne,TM Dilshan,KC Sangakkara,DPMD Jayawardene,FDM Karunaratne,LD Chandimal,BMAJ Mendis,NLTC Perera,KTGD Prasad,HMRKB Herath,RAS Lakmal
DN,won,0,1,won,v New Zealand,HDRL Thirimanne,TM Dilshan,KC Sangakkara,DPMD Jayawardene,S Prasanna,LD Chandimal,NLTC Perera,KMDN Kulasekara,FDM Karunaratne,RMS Eranga,PVD Chameera
D,lost,0,2,won,v New Zealand,HDRL Thirimanne,TM Dilshan,KC Sangakkara,DPMD Jayawardene,FDM Karunaratne,AD Mathews,BMAJ Mendis,KMDN Kulasekara,HMRKB Herath,SL Malinga,RAS Lakmal
D,won,0,2,won,v Afghanistan,HDRL Thirimanne,TM Dilshan,KC Sangakkara,FDM Karunaratne,DPMD Jayawardene,AD Mathews,BMAJ Mendis,NLTC Perera,HMRKB Herath,SL Malinga,RAS Lakmal
DN,won,0,1,won,v Bangladesh,HDRL Thirimanne,TM Dilshan,KC Sangakkara,FDM Karunaratne,DPMD Jayawardene,AD Mathews,LD Chandimal,NLTC Perera,HMRKB Herath,SL Malinga,RAS Lakmal
D,won,0,2,lost,v England,HDRL Thirimanne,TM Dilshan,KC Sangakkara,DPMD Jayawardene,AD Mathews,FDM Karunaratne,LD Chandimal,NLTC Perera,HMRKB Herath,SL Malinga,RAS Lakmal
DN,lost,0,2,lost,v Australia,HDRL Thirimanne,TM Dilshan,KC Sangakkara,DPMD Jayawardene,AD Mathews,LD Chandimal,NLTC Perera,WU Tharanga,S Prasanna,SMSM Senanayake,SL Malinga
DN,lost,0,1,won,v South Africa,MDKJ Perera,TM Dilshan,KC Sangakkara,HDRL Thirimanne,DPMD Jayawardene,AD Mathews,NLTC Perera,KMDN Kulasekara,PHT Kaushal,PVD Chameera,SL Malinga
D,lost,1,1,lost,v Pakistan,MDKJ Perera,TM Dilshan,HDRL Thirimanne,WU Tharanga,AD Mathews,LD Chandimal,NLTC Perera,TAM Siriwardana,S Prasanna,SL Malinga,RAS Lakmal
DN,won,1,2,lost,v Pakistan,MDKJ Perera,TM Dilshan,WU Tharanga,AD Mathews,HDRL Thirimanne,LD Chandimal,TAM Siriwardana,SS Pathirana,NLTC Perera,SL Malinga,N Pradeep
DN,lost,1,2,lost,v Pakistan,MDKJ Perera,TM Dilshan,HDRL Thirimanne,WU Tharanga,AD Mathews,LD Chandimal,NLTC Perera,TAM Siriwardana,SS Pathirana,SL Malinga,N Pradeep
DN,lost,1,1,won,v Pakistan,MDKJ Perera,TM Dilshan,HDRL Thirimanne,AD Mathews,LD Chandimal,SMA Priyanjan,TAM Siriwardana,SS Pathirana,SL Malinga,RAS Lakmal,N Pradeep
DN,won,1,1,won,v Pakistan,MDKJ Perera,TM Dilshan,HDRL Thirimanne,LD Chandimal,AD Mathews,TAM Siriwardana,NLTC Perera,SMA Priyanjan,SMSM Senanayake,RAS Lakmal,PLS Gamage
DN,won,1,2,won,v West Indies,MDKJ Perera,TM Dilshan,HDRL Thirimanne,AD Mathews,MD Gunathilaka,TAM Siriwardana,GSNFG Jayasuriya,SMSM Senanayake,BAW Mendis,SL Malinga,RAS Lakmal
DN,won,1,2,lost,v West Indies,MDKJ Perera,TM Dilshan,HDRL Thirimanne,LD Chandimal,AD Mathews,TAM Siriwardana,GSNFG Jayasuriya,SMSM Senanayake,BAW Mendis,SL Malinga,RAS Lakmal
DN,won,1,2,won,v West Indies,MDKJ Perera,TM Dilshan,HDRL Thirimanne,LD Chandimal,AD Mathews,TAM Siriwardana,GSNFG Jayasuriya,SMSM Senanayake,BAW Mendis,SL Malinga,RAS Lakmal
D,lost,0,1,won,v New Zealand,MD Gunathilaka,TM Dilshan,HDRL Thirimanne,LD Chandimal,AD Mathews,TAM Siriwardana,CK Kapugedera,KMDN Kulasekara,BAW Mendis,PVD Chameera,RAS Lakmal
D,lost,0,1,won,v New Zealand,MD Gunathilaka,TM Dilshan,HDRL Thirimanne,LD Chandimal,AD Mathews,TAM Siriwardana,CK Kapugedera,KMDN Kulasekara,SMSM Senanayake,PVD Chameera,JDF Vandersay
D,won,0,2,lost,v New Zealand,MD Gunathilaka,TM Dilshan,HDRL Thirimanne,LD Chandimal,AD Mathews,TAM Siriwardana,CK Kapugedera,KMDN Kulasekara,PVD Chameera,N Pradeep,JDF Vandersay
D,lost,0,2,won,v New Zealand,MD Gunathilaka,TM Dilshan,HDRL Thirimanne,LD Chandimal,AD Mathews,NLTC Perera,TAM Siriwardana,CK Kapugedera,KMDN Kulasekara,PVD Chameera,N Pradeep
D,won,0,1,lost,v Ireland,MDKJ Perera,MD Gunathilaka,BKG Mendis,LD Chandimal,AD Mathews,MD Shanaka,S Prasanna,WU Tharanga,DM de Silva,RMS Eranga,N Pradeep
D,won,0,1,lost,v Ireland,MDKJ Perera,MD Gunathilaka,S Prasanna,MD Shanaka,MF Maharoof,AD Mathews,LD Chandimal,WU Tharanga,BKG Mendis,WU Tharanga,RMS Eranga
DN,lost,0,1,won,v England,MDKJ Perera,MD Gunathilaka,BKG Mendis,LD Chandimal,AD Mathews,S Prasanna,WU Tharanga,MF Maharoof,S Randiv,RAS Lakmal,N Pradeep
DN,lost,0,1,lost,v England,MDKJ Perera,MD Gunathilaka,BKG Mendis,LD Chandimal,AD Mathews,S Prasanna,MD Shanaka,WU Tharanga,MF Maharoof,N Pradeep,RAS Lakmal
D,lost,0,2,won,v England,MDKJ Perera,MD Gunathilaka,BKG Mendis,LD Chandimal,AD Mathews,WU Tharanga,MD Shanaka,S Prasanna,RAS Lakmal,N Pradeep,KMC Bandara
DN,lost,1,1,lost,v Australia,MDKJ Perera,TM Dilshan,BKG Mendis,LD Chandimal,AD Mathews,DM de Silva,TAM Siriwardana,NLTC Perera,MDK Perera,MA Aponso,PADLR Sandakan
DN,won,1,1,won,v Australia,MD Gunathilaka,TM Dilshan,BKG Mendis,LD Chandimal,AD Mathews,DM de Silva,MDKJ Perera,NLTC Perera,S Prasanna,MDK Perera,MA Aponso
DN,lost,1,1,won,v Australia,MD Gunathilaka,TM Dilshan,BKG Mendis,LD Chandimal,AD Mathews,DM de Silva,MDKJ Perera,NLTC Perera,S Prasanna,MDK Perera,MA Aponso
DN,lost,1,1,won,v Australia,DM de Silva,WIA Fernando,BKG Mendis,LD Chandimal,AD Mathews,AK Perera,MDKJ Perera,NLTC Perera,SS Pathirana,MDK Perera,MA Aponso
DN,lost,1,1,won,v Australia,DM de Silva,MD Gunathilaka,BKG Mendis,LD Chandimal,WU Tharanga,MDKJ Perera,MD Shanaka,SS Pathirana,MDK Perera,RAS Lakmal,MA Aponso
D,won,0,2,won,v Zimbabwe,DM de Silva,MDKJ Perera,N Dickwella,BKG Mendis,WU Tharanga,GSNFG Jayasuriya,DAS Gunaratne,SS Pathirana,KMDN Kulasekara,RAS Lakmal,N Pradeep
D,lost,0,2,won,v West Indies,DM de Silva,MDKJ Perera,N Dickwella,BKG Mendis,WU Tharanga,DAS Gunaratne,GSNFG Jayasuriya,SS Pathirana,KMDN Kulasekara,RAS Lakmal,N Pradeep
D,won,0,1,lost,v West Indies,DM de Silva,MDKJ Perera,N Dickwella,BKG Mendis,GSNFG Jayasuriya,WU Tharanga,DAS Gunaratne,SS Pathirana,KMDN Kulasekara,N Pradeep,RAS Lakmal
D,won,0,2,lost,v Zimbabwe,DM de Silva,MDKJ Perera,N Dickwella,BKG Mendis,WU Tharanga,DAS Gunaratne,MD Shanaka,SS Pathirana,KMDN Kulasekara,JDF Vandersay,RAS Lakmal
D,lost,0,1,lost,v South Africa,N Dickwella,DS Weerakkody,BKG Mendis,LD Chandimal,WU Tharanga,DM de Silva,DAS Gunaratne,KMDN Kulasekara,JDF Vandersay,RAS Lakmal,PADLR Sandakan
DN,lost,0,2,won,v South Africa,N Dickwella,WU Tharanga,BKG Mendis,LD Chandimal,DM de Silva,DAS Gunaratne,PC de Silva,SS Pathirana,KMDN Kulasekara,RAS Lakmal,PADLR Sandakan
DN,lost,0,1,lost,v South Africa,N Dickwella,WU Tharanga,BKG Mendis,LD Chandimal,DM de Silva,DAS Gunaratne,SS Pathirana,LD Madushanka,RAS Lakmal,CBRLS Kumara,PADLR Sandakan
DN,lost,0,2,lost,v South Africa,N Dickwella,WU Tharanga,BKG Mendis,DS Weerakkody,DM de Silva,DAS Gunaratne,KMDN Kulasekara,SS Pathirana,LD Madushanka,CBRLS Kumara,PADLR Sandakan
DN,lost,0,2,won,v South Africa,N Dickwella,WU Tharanga,BKG Mendis,DS Weerakkody,DM de Silva,DAS Gunaratne,SS Pathirana,LD Madushanka,JDF Vandersay,RAS Lakmal,CBRLS Kumara
DN,lost,1,2,won,v Bangladesh,MD Gunathilaka,WU Tharanga,BKG Mendis,LD Chandimal,DAS Gunaratne,TAM Siriwardana,SS Pathirana,NLTC Perera,RAS Lakmal,PADLR Sandakan,CBRLS Kumara
D,won,1,1,lost,v Bangladesh,MD Gunathilaka,WU Tharanga,BKG Mendis,LD Chandimal,TAM Siriwardana,DAS Gunaratne,NLTC Perera,S Prasanna,MDK Perera,KMDN Kulasekara,RAS Lakmal
D,lost,0,2,won,v South Africa,N Dickwella,WU Tharanga,BKG Mendis,LD Chandimal,CK Kapugedera,MDKJ Perera,DAS Gunaratne,S Prasanna,RAS Lakmal,SL Malinga,N Pradeep
