,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
476,"frozenset({'AD Mathews', 'BKG Mendis'})",frozenset({'won'}),0.3904761904761905,0.3523809523809524,0.1619047619047619,0.41463414634146345,1.1766644693473962,0.024308390022675735,1.1063492063492062
507,"frozenset({'AD Mathews', 'DM de Silva'})",frozenset({'won'}),0.21904761904761905,0.3523809523809524,0.11428571428571428,0.5217391304347826,1.480611045828437,0.03709750566893423,1.3541125541125538
543,"frozenset({'AD Mathews', 'FDM Karunaratne'})",frozenset({'won'}),0.19047619047619047,0.3523809523809524,0.12380952380952381,0.65,1.8445945945945945,0.05668934240362812,1.8503401360544216
589,"frozenset({'AD Mathews', 'HDRL Thirimanne'})",frozenset({'won'}),0.3142857142857143,0.3523809523809524,0.14285714285714285,0.45454545454545453,1.2899262899262898,0.03210884353741496,1.1873015873015873
628,"frozenset({'AD Mathews', 'LD Chandimal'})",frozenset({'won'}),0.2571428571428571,0.3523809523809524,0.10476190476190476,0.40740740740740744,1.1561561561561562,0.014149659863945577,1.0928571428571427
692,"frozenset({'AD Mathews', 'MDKJ Perera'})",frozenset({'won'}),0.38095238095238093,0.3523809523809524,0.19047619047619047,0.5,1.4189189189189189,0.05623582766439908,1.295238095238095
718,"frozenset({'AD Mathews', 'N Pradeep'})",frozenset({'won'}),0.23809523809523808,0.3523809523809524,0.13333333333333333,0.56,1.5891891891891892,0.04943310657596371,1.4718614718614718
740,"frozenset({'AD Mathews', 'NLTC Perera'})",frozenset({'won'}),0.3904761904761905,0.3523809523809524,0.1619047619047619,0.41463414634146345,1.1766644693473962,0.024308390022675735,1.1063492063492062
754,"frozenset({'AD Mathews', 'RAS Lakmal'})",frozenset({'won'}),0.2761904761904762,0.3523809523809524,0.11428571428571428,0.4137931034482758,1.1742777260018638,0.016961451247165513,1.1047619047619046
779,"frozenset({'AD Mathews', 'SL Malinga'})",frozenset({'won'}),0.3333333333333333,0.3523809523809524,0.13333333333333333,0.4,1.135135135135135,0.015873015873015872,1.0793650793650793
801,"frozenset({'AD Mathews', 'TM Dilshan'})",frozenset({'won'}),0.22857142857142856,0.3523809523809524,0.10476190476190476,0.45833333333333337,1.3006756756756757,0.024217687074829936,1.1956043956043956
934,"frozenset({'BKG Mendis', 'DM de Silva'})",frozenset({'won'}),0.3904761904761905,0.3523809523809524,0.1523809523809524,0.3902439024390244,1.107448912326961,0.014784580498866218,1.062095238095238
1074,"frozenset({'MDKJ Perera', 'BKG Mendis'})",frozenset({'won'}),0.42857142857142855,0.3523809523809524,0.18095238095238095,0.4222222222222222,1.1981981981981982,0.029931972789115635,1.120879120879121
1138,"frozenset({'N Pradeep', 'BKG Mendis'})",frozenset({'won'}),0.2571428571428571,0.3523809523809524,0.13333333333333333,0.5185185185185186,1.4714714714714716,0.042721088435374144,1.3450549450549452
1388,"frozenset({'MDKJ Perera', 'DM de Silva'})",frozenset({'won'}),0.29523809523809524,0.3523809523809524,0.14285714285714285,0.48387096774193544,1.3731473408892763,0.03882086167800451,1.2547619047619047
1494,"frozenset({'NLTC Perera', 'FDM Karunaratne'})",frozenset({'won'}),0.18095238095238095,0.3523809523809524,0.10476190476190476,0.5789473684210527,1.6429587482219061,0.04099773242630385,1.538095238095238
1619,"frozenset({'TM Dilshan', 'HDRL Thirimanne'})",frozenset({'won'}),0.22857142857142856,0.3523809523809524,0.10476190476190476,0.45833333333333337,1.3006756756756757,0.024217687074829936,1.1956043956043956
1863,"frozenset({'N Pradeep', 'MDKJ Perera'})",frozenset({'won'}),0.24761904761904763,0.3523809523809524,0.12380952380952381,0.5,1.4189189189189189,0.0365532879818594,1.295238095238095
1900,"frozenset({'MDKJ Perera', 'RAS Lakmal'})",frozenset({'won'}),0.26666666666666666,0.3523809523809524,0.11428571428571428,0.42857142857142855,1.216216216216216,0.020317460317460304,1.1333333333333333
2015,"frozenset({'NLTC Perera', 'RAS Lakmal'})",frozenset({'won'}),0.29523809523809524,0.3523809523809524,0.12380952380952381,0.41935483870967744,1.190061028770706,0.019773242630385476,1.1153439153439153
2468,"frozenset({'AD Mathews', 'BKG Mendis', 'DM de Silva'})",frozenset({'won'}),0.21904761904761905,0.3523809523809524,0.11428571428571428,0.5217391304347826,1.480611045828437,0.03709750566893423,1.3541125541125538
