,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'D'}),frozenset({'won'}),0.5844155844155844,0.23376623376623376,0.18181818181818182,0.3111111111111111,1.3308641975308642,0.04520155169505821,1.1122748219522414
1,"frozenset({'AG Cremer', 'D'})",frozenset({'won'}),0.35064935064935066,0.23376623376623376,0.12987012987012986,0.37037037037037035,1.5843621399176955,0.047900151796255674,1.216959511077158
2,"frozenset({'D', 'CR Ervine'})",frozenset({'won'}),0.4025974025974026,0.23376623376623376,0.16883116883116883,0.4193548387096774,1.7939068100358422,0.07471749030190589,1.3196248196248197
3,"frozenset({'D', 'H Masakadza'})",frozenset({'won'}),0.4025974025974026,0.23376623376623376,0.1038961038961039,0.25806451612903225,1.103942652329749,0.009782425366840958,1.0327498588368154
4,"frozenset({'D', 'SC Williams'})",frozenset({'won'}),0.4155844155844156,0.23376623376623376,0.15584415584415584,0.37499999999999994,1.6041666666666665,0.058694552201045705,1.225974025974026
5,"frozenset({'Sikandar Raza', 'D'})",frozenset({'won'}),0.44155844155844154,0.23376623376623376,0.15584415584415584,0.35294117647058826,1.5098039215686276,0.052622701973351324,1.1841794569067299
6,"frozenset({'AG Cremer', 'D', 'CR Ervine'})",frozenset({'won'}),0.2597402597402597,0.23376623376623376,0.11688311688311688,0.45,1.925,0.05616461460617305,1.3931523022432113
7,"frozenset({'AG Cremer', 'D', 'H Masakadza'})",frozenset({'won'}),0.2857142857142857,0.23376623376623376,0.1038961038961039,0.3636363636363637,1.5555555555555558,0.037105751391465686,1.2040816326530615
8,"frozenset({'AG Cremer', 'D', 'SC Williams'})",frozenset({'won'}),0.2727272727272727,0.23376623376623376,0.11688311688311688,0.4285714285714286,1.8333333333333335,0.053128689492325853,1.340909090909091
9,"frozenset({'AG Cremer', 'Sikandar Raza', 'D'})",frozenset({'won'}),0.2857142857142857,0.23376623376623376,0.1038961038961039,0.3636363636363637,1.5555555555555558,0.037105751391465686,1.2040816326530615
10,"frozenset({'D', 'SC Williams', 'CR Ervine'})",frozenset({'won'}),0.3246753246753247,0.23376623376623376,0.14285714285714285,0.44,1.8822222222222222,0.06695901501096306,1.3682745825602969
11,"frozenset({'Sikandar Raza', 'D', 'CR Ervine'})",frozenset({'won'}),0.33766233766233766,0.23376623376623376,0.14285714285714285,0.4230769230769231,1.8098290598290598,0.06392308989711587,1.3281385281385283
12,"frozenset({'Sikandar Raza', 'D', 'H Masakadza'})",frozenset({'won'}),0.2987012987012987,0.23376623376623376,0.1038961038961039,0.3478260869565218,1.4879227053140098,0.034069826277618495,1.1748917748917749
13,"frozenset({'Sikandar Raza', 'D', 'SC Williams'})",frozenset({'won'}),0.36363636363636365,0.23376623376623376,0.12987012987012986,0.3571428571428571,1.5277777777777777,0.044864226682408484,1.1919191919191918
14,"frozenset({'AG Cremer', 'D', 'SC Williams', 'CR Ervine'})",frozenset({'won'}),0.2077922077922078,0.23376623376623376,0.1038961038961039,0.5,2.138888888888889,0.055321302074548835,1.5324675324675325
15,"frozenset({'AG Cremer', 'Sikandar Raza', 'D', 'H Masakadza'})",frozenset({'won'}),0.2597402597402597,0.23376623376623376,0.1038961038961039,0.4000000000000001,1.7111111111111115,0.04317760161916007,1.2770562770562774
16,"frozenset({'Sikandar Raza', 'D', 'SC Williams', 'CR Ervine'})",frozenset({'won'}),0.2727272727272727,0.23376623376623376,0.11688311688311688,0.4285714285714286,1.8333333333333335,0.053128689492325853,1.340909090909091
