Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
lost,CJ Chibhabha,CJ Chibhabha1,Sikandar Raza,Sikandar Raza2,H Masakadza,H Masakadza3,BRM Taylor,BRM Taylor4,SC Williams,SC Williams5,CR Ervine,CR Ervine6,E Chigumbura,E Chigumbura7,SF Mire,SF Mire8,T Panyangara,T Panyangara9,TL Chatara,TL Chatara10,TP Kamungozi,TP Kamungozi11
lost,Sikandar Raza,Sikandar Raza1,RW Chakabva,RW Chakabva2,H Masakadza,H Masakadza3,BRM Taylor,BRM Taylor4,BRM Taylor,BRM Taylor5,SC Williams,SC Williams6,E Chigumbura,E Chigumbura7,E Chigumbura,E Chigumbura8,T Panyangara,T Panyangara9,TL Chatara,TL Chatara10,TL Chatara,TL Chatara11
lost,CJ Chibhabha,CJ Chibhabha1,Sikandar Raza,Sikandar Raza2,H Masakadza,H Masakadza3,BRM Taylor,BRM Taylor4,SC Williams,SC Williams5,CR Ervine,CR Ervine6,SF Mire,SF Mire7,E Chigumbura,E Chigumbura8,T Mupariwa,T Mupariwa9,T Panyangara,T Panyangara10,T Panyangara,T Panyangara11
lost,CJ Chibhabha,CJ Chibhabha1,Sikandar Raza,Sikandar Raza2,SF Mire,SF Mire3,H Masakadza,H Masakadza4,BRM Taylor,BRM Taylor5,SC Williams,SC Williams6,CR Ervine,CR Ervine7,RW Chakabva,RW Chakabva8,T Panyangara,T Panyangara9,T Mupariwa,T Mupariwa10,TL Chatara,TL Chatara11
lost,CJ Chibhabha,CJ Chibhabha1,H Masakadza,H Masakadza2,SF Mire,SF Mire3,BRM Taylor,BRM Taylor4,SC Williams,SC Williams5,CR Ervine,CR Ervine6,Sikandar Raza,Sikandar Raza7,RW Chakabva,RW Chakabva8,T Panyangara,T Panyangara9,T Mupariwa,T Mupariwa10,TL Chatara,TL Chatara11
lost,V Sibanda,V Sibanda1,Sikandar Raza,Sikandar Raza2,H Masakadza,H Masakadza3,E Chigumbura,E Chigumbura4,SC Williams,SC Williams5,R Mutumbami,R Mutumbami6,P Utseya,P Utseya7,CR Ervine,CR Ervine8,CB Mpofu,CB Mpofu9,T Panyangara,T Panyangara10,BV Vitori,BV Vitori11
lost,V Sibanda,V Sibanda1,CJ Chibhabha,CJ Chibhabha2,H Masakadza,H Masakadza3,SC Williams,SC Williams4,Sikandar Raza,Sikandar Raza5,R Mutumbami,R Mutumbami6,CK Coventry,CK Coventry7,AG Cremer,AG Cremer8,T Panyangara,T Panyangara9,T Mupariwa,T Mupariwa10,BV Vitori,BV Vitori11
lost,V Sibanda,V Sibanda1,CJ Chibhabha,CJ Chibhabha2,H Masakadza,H Masakadza3,E Chigumbura,E Chigumbura4,SC Williams,SC Williams5,Sikandar Raza,Sikandar Raza6,R Mutumbami,R Mutumbami7,AG Cremer,AG Cremer8,DT Tiripano,DT Tiripano9,BV Vitori,BV Vitori10,T Panyangara,T Panyangara11
lost,V Sibanda,V Sibanda1,CJ Chibhabha,CJ Chibhabha2,H Masakadza,H Masakadza3,E Chigumbura,E Chigumbura4,SC Williams,SC Williams5,Sikandar Raza,Sikandar Raza6,R Mutumbami,R Mutumbami7,AG Cremer,AG Cremer8,N Madziva,N Madziva9,DT Tiripano,DT Tiripano10,BV Vitori,BV Vitori11
lost,H Masakadza,H Masakadza1,CJ Chibhabha,CJ Chibhabha2,RW Chakabva,RW Chakabva3,E Chigumbura,E Chigumbura4,R Mutumbami,R Mutumbami5,Sikandar Raza,Sikandar Raza6,MN Waller,MN Waller7,AG Cremer,AG Cremer8,P Utseya,P Utseya9,DT Tiripano,DT Tiripano10,N Madziva,N Madziva11
