p1,o1,s1,w1,e1,p2,o2,s2,w2,e2,p3,o3,s3,w3,e3,p4,o4,s4,w4,e4,p5,o5,s5,w5,e5,p6,o6,s6,w6,e6,p7,o7,s7,w7,e7,p8,o8,s8,w8,e8
T Panyangara,10,73,1,7.3,TL Chatara,10,71,1,7.1,SF Mire,6,61,0,10.16666667,E Chigumbura,4,30,1,7.5,SC Williams,8,44,0,5.5,TP Kamungozi,8,34,1,4.25,Sikandar Raza,3,19,0,6.333333333,H Masakadza,1,6,0,6
T Panyangara,9,82,1,9.111111111,TL Chatara,9.4,74,0,7.872340426,SC Williams,5,48,0,9.6,E Chigumbura,7,44,0,6.285714286,Sikandar Raza,10,45,0,4.5,TP Kamungozi,3,37,0,12.33333333,H Masakadza,6.2,39,1,6.290322581,-,,,,
T Panyangara,10,49,0,4.9,TL Chatara,10,35,3,3.5,T Mupariwa,8,36,1,4.5,SC Williams,10,48,2,4.8,H Masakadza,3,14,0,4.666666667,E Chigumbura,1,7,0,7,Sikandar Raza,7,34,1,4.857142857,SF Mire,1,9,0,9
T Panyangara,9,69,1,7.666666667,TL Chatara,10,61,3,6.1,T Mupariwa,10,56,0,5.6,Sikandar Raza,9,51,0,5.666666667,SC Williams,9,72,3,8,H Masakadza,3,18,0,6,-,,,,,-,,,,
T Panyangara,8.4,53,2,6.30952381,TL Chatara,10,59,0,5.9,T Mupariwa,10,61,0,6.1,SF Mire,5,29,0,5.8,SC Williams,5,31,0,6.2,Sikandar Raza,8,37,1,4.625,H Masakadza,2,15,0,7.5,-,,,,
T Panyangara,10,75,1,7.5,BV Vitori,10,77,0,7.7,CB Mpofu,10,70,0,7,SC Williams,5,42,0,8.4,P Utseya,10,63,2,6.3,Sikandar Raza,5,43,0,8.6,-,,,,,-,,,,
T Panyangara,8.2,42,0,5.12195122,T Mupariwa,7,48,1,6.857142857,BV Vitori,8,52,0,6.5,CJ Chibhabha,2,10,1,5,AG Cremer,10,52,2,5.2,SC Williams,10,53,0,5.3,H Masakadza,1,5,0,5,Sikandar Raza,1,5,0,5
T Panyangara,9.2,53,0,5.760869565,BV Vitori,9,63,1,7,DT Tiripano,8.4,48,2,5.714285714,CJ Chibhabha,10,25,2,2.5,AG Cremer,10,47,0,4.7,AG Cremer,10,47,0,4.7,-,,,,,-,,,,
BV Vitori,8,47,1,5.875,DT Tiripano,9,42,1,4.666666667,N Madziva,10,49,4,4.9,SC Williams,5,23,0,4.6,AG Cremer,5,32,0,6.4,CJ Chibhabha,5,27,1,5.4,H Masakadza,4,26,0,6.5,Sikandar Raza,4,25,1,6.25
DT Tiripano,8,46,0,5.75,N Madziva,9,59,2,6.555555556,N Madziva,9,59,2,6.555555556,CJ Chibhabha,8,55,1,6.875,H Masakadza,10,31,1,3.1,P Utseya,10,41,1,4.1,AG Cremer,5,42,0,8.4,-,,,,
CB Mpofu,10,84,0,8.4,T Panyangara,10,50,2,5,CJ Chibhabha,7,32,1,4.571428571,P Utseya,7,43,0,6.142857143,AG Cremer,10,48,0,4.8,SC Williams,4,27,0,6.75,Sikandar Raza,2,15,0,7.5,-,,,,
CB Mpofu,7,37,0,5.285714286,T Panyangara,6,30,0,5,T Panyangara,6,30,0,5,SC Williams,5.2,36,0,6.923076923,AG Cremer,10,60,0,6,P Utseya,10,46,0,4.6,Sikandar Raza,2,17,0,8.5,H Masakadza,2,9,0,4.5
