p1,o1,s1,w1,p2,o2,s2,w2,p3,o3,s3,w3,p4,o4,s4,w4,p5,o5,s5,w5,p6,o6,s6,w6,p7,o7,s7,w7,,,
Hamid Hassan,8,23,1,Mohammad Nabi,10,39,2,Mirwais Ashraf,5,23,0,Javed Ahmadi,10,37,4,Dawlat Zadran,5,39,0,Nasir Jamal,1,7,0,Aftab Alam,4.2,11,0,,,
Hamid Hassan,6.3,24,3,Dawlat Zadran,2,18,0,Aftab Alam,7,31,2,Mohammad Nabi,8,20,1,Mirwais Ashraf,10,43,2,Javed Ahmadi,8,28,1,Samiullah Shinwari,2,9,0,,,
Hamid Hassan,10,61,2,Shapoor Zadran,7,20,2,Aftab Alam,9,55,2,Mirwais Ashraf,9,32,2,Mohammad Nabi,9,58,1,Javed Ahmadi,4.5,32,0,Samiullah Shinwari,11,2,0,,,
Dawlat Zadran,9,44,1,Shapoor Zadran,10,48,1,Hamid Hassan,9,45,3,Mirwais Ashraf,8.1,31,0,Mohammad Nabi,5.2,28,0,Asghar Afghan,0.5,6,0,Samiullah Shinwari,6,32,0,,,
Dawlat Zadran,10,101,2,Shapoor Zadran,10,89,2,Hamid Hassan,10,70,1,Mohammad Nabi,10,84,0,Samiullah Shinwari,5,34,0,Javed Ahmadi,4,18,0,Nawroz Mangal,1,14,1,,,
Dawlat Zadran,9,51,0,Shapoor Zadran,10,45,1,Hamid Hassan,7,36,0,Mohammad Nabi,7.1,39,1,Samiullah Shinwari,3,15,0,-,,,,-,,,,,,
Shapoor Zadran,4,25,0,Dawlat Zadran,3,23,0,Hamid Hassan,5,17,1,Mohammad Nabi,4.1,14,0,Samiullah Shinwari,2,19,0,-,,,,-,,,,,,
Amir Hamza,6,30,1,Dawlat Zadran,4,15,0,Shapoor Zadran,4,26,0,Aftab Alam,5,21,1,Mohammad Nabi,2,10,0,Samiullah Shinwari,2.2,24,0,-,,,,,,
Aftab Alam,8.4,48,2,Dawlat Zadran,8,25,2,Mohammad Nabi,7,39,1,Amir Hamza,9,45,1,Rashid Khan,10,30,1,Samiullah Shinwari,4,23,2,-,,,,,,
Amir Hamza,10,47,3,Dawlat Zadran,9.4,51,0,Aftab Alam,9,44,0,Mohammad Nabi,9,30,0,Rashid Khan,10,45,0,Samiullah Shinwari,2,11,0,-,,,,,,
Dawlat Zadran,9,37,3,Mirwais Ashraf,7,23,0,Mohammad Nabi,9,34,1,Amir Hamza,10,22,1,Rashid Khan,10,37,2,Samiullah Shinwari,5,27,0,-,,,,,,
Mirwais Ashraf,8,26,1,Dawlat Zadran,8,22,4,Mohammad Nabi,8,33,0,Amir Hamza,10,41,3,Rashid Khan,7.1,24,2,Najibullah Zadran,2,21,0,Samiullah Shinwari,1,5,0,,,
Amir Hamza,7.5,17,4,Dawlat Zadran,5,12,0,Mirwais Ashraf,5,13,2,Samiullah Shinwari,5,21,0,Mohammad Nabi,5,15,3,Yamin Ahmadzai,3,4,0,-,,,,,,
Amir Hamza,10,48,0,Dawlat Zadran,10,57,3,Mirwais Ashraf,8,37,0,Mohammad Nabi,10,49,2,Rokhan Barakzai,10,45,2,Samiullah Shinwari,2,10,0,-,,,,,,
Amir Hamza,10,35,2,Dawlat Zadran,9.3,22,1,Mohammad Nabi,9,47,1,Mirwais Ashraf,8,20,3,Rashid Khan,10,36,1,Samiullah Shinwari,2,10,0,-,,,,,,
Amir Hamza,10,31,2,Dawlat Zadran,10,54,3,Mirwais Ashraf,9.1,36,2,Karim Sadiq,5,27,0,Rashid Khan,10,43,3,Mohammad Nabi,5,26,0,-,,,,,,
Amir Hamza,9.5,41,3,Dawlat Zadran,10,71,2,Gulbadin Naib,3,23,0,Mirwais Ashraf,7,28,1,Rashid Khan,10,59,2,Mohammad Nabi,10,23,2,-,,,,,,
Mohammad Nabi,9,45,3,Dawlat Zadran,9.2,29,2,Shapoor Zadran,6,48,0,Mirwais Ashraf,10,40,2,Rashid Khan,10,28,3,Javed Ahmadi,4,15,0,-,,,,,,
Dawlat Zadran,8.3,43,1,Hamid Hassan,6,21,2,Mohammad Nabi,8,42,1,Mirwais Ashraf,6,33,0,Rashid Khan,10,44,0,Samiullah Shinwari,3,23,0,Rahmat Shah,6,30,0,,,
Dawlat Zadran,7,30,1,Yamin Ahmadzai,7,23,1,Mohammad Nabi,6,17,0,Mirwais Ashraf,7,22,0,Rahmat Shah,6,30,2,Rashid Khan,8,21,4,-,,,,,,
