Player,Fielders_score
AC Gilchrist (AUS/ICC),403.3516216
KC Sangakkara (Asia/ICC/SL),389.0165046000001
MV Boucher (Afr/SA),388.7341158
MS Dhoni (Asia/INDIA),313.37537879999996
BB McCullum (NZ),250.21125740000002
Moin Khan (PAK),208.7088202792079
DPMD Jayawardene (Asia/SL),192.93845579999999
IA Healy (AUS),188.301458
R Dravid (Asia/ICC/INDIA),179.7097998
PJL Dujon (WI),177.18311147920792
Rashid Latif (PAK),176.74338987920794
Mushfiqur Rahim (BDESH),175.9029076
D Ramdin (WI),174.7489462792079
JC Buttler (ENG),171.7083926
BJ Haddin (AUS),164.27055359999997
AB de Villiers (Afr/SA),163.3076482
Q de Kock (SA),158.42732700000005
RD Jacobs (WI),155.28578447920796
AJ Stewart (ENG),153.04524880000002
Kamran Akmal (PAK),152.3833702
DJ Richardson (SA),143.31596760000002
RT Ponting (AUS/ICC),141.82965319999997
M Azharuddin (INDIA),138.2048264
A Flower (ZIM),136.6363216
RS Kaluwitharana (SL),129.8551538792079
SR Tendulkar (INDIA),124.47217619999999
LRPL Taylor (NZ),123.0288088
Younis Khan (PAK),119.98968579999999
BRM Taylor (ZIM),119.41409467920793
SP Fleming (ICC/NZ),117.87767199999999
JH Kallis (Afr/ICC/SA),116.24402500000001
RW Marsh (AUS),115.95770780000001
M Muralitharan (Asia/ICC/SL),115.37437940000002
V Kohli (INDIA),113.41156360000002
Shahid Afridi (Asia/ICC/PAK),112.88682720000001
Sarfaraz Ahmed (PAK),112.77647099999999
AR Border (AUS),112.56772520000001
AC Parore (NZ),112.55981487920792
T Taibu (Afr/ZIM),111.0413784
CH Gayle (ICC/WI),110.0200724
TM Dilshan (SL),109.63250760000001
ST Jayasuriya (Asia/SL),109.49165700000002
NR Mongia (INDIA),107.67786420000002
BC Lara (ICC/WI),106.49184060000002
CL Hooper (WI),106.31959067920792
MS Wade (AUS),104.56599039999999
L Ronchi (AUS/NZ),101.768045
Inzamam-ul-Haq (Asia/PAK),100.55147320000002
SR Waugh (AUS),98.66233440000002
RS Mahanama (SL),96.60523727920791
SM Pollock (Afr/ICC/SA),95.96965780000001
HH Gibbs (SA),95.82264780000001
ME Waugh (AUS),95.82145800000002
PD Collingwood (ENG),95.70463260000001
MJ Clarke (AUS),94.0533628
JN Rhodes (SA),93.18295027920792
GC Smith (Afr/SA),93.08196439999999
MEK Hussey (AUS),93.0339834
SK Raina (INDIA),90.4838988
Khaled Mashud (BDESH),89.11237500000001
SC Ganguly (Asia/INDIA),88.96469480000002
IVA Richards (WI),88.666163
Shoaib Malik (PAK),87.1386014
NJ O'Brien (IRE),86.78610099999997
CZ Harris (NZ),85.27989587920791
PA de Silva (SL),84.53872720000001
Yuvraj Singh (Asia/INDIA),83.6763026
V Sehwag (Asia/ICC/INDIA),82.6357794
HP Tillakaratne (SL),82.39123967920793
MJ Guptill (NZ),80.7532402
SD Hope (WI),80.54915600000001
Ijaz Ahmed (PAK),80.01728247920792
Saleem Yousuf (PAK),79.03529547920793
Wasim Akram (PAK),78.52823360000002
IDS Smith (NZ),78.43535979999999
DL Vettori (ICC/NZ),78.36878640000002
TWM Latham (NZ),77.41026299999999
HM Amla (SA),77.21425699999999
EJG Morgan (ENG/IRE),76.70693200000002
GW Flower (ZIM),76.42573400000002
A Kumble (Asia/INDIA),75.6658212
Mohammad Hafeez (PAK),75.5386764
NJ Astle (NZ),73.80837127920792
A Symonds (AUS),72.879895
JP Duminy (SA),72.82958900000001
Umar Akmal (PAK),72.32923139999998
Saleem Malik (PAK),72.2589582
F du Plessis (SA),71.8420464
SK Warne (AUS/ICC),71.0970628
UDU Chandana (SL),70.0937194792079
GC Wilson (IRE),69.035853
MJ Prior (ENG),68.78215619999999
RG Sharma (INDIA),68.52048760000001
ADR Campbell (ZIM),67.72616107920794
RB Richardson (WI),66.7572032
GO Jones (ENG/PNG),65.895575
JE Root (ENG),65.70794560000002
S Chanderpaul (WI),65.10332880000001
WJ Cronje (SA),64.95471720000002
SB Styris (NZ),64.92522320000002
DJ Bravo (WI),64.85328440000002
E Chigumbura (Afr/ZIM),64.10454587920792
Javed Miandad (PAK),63.4097224
Harbhajan Singh (Asia/INDIA),63.2657086
N Kapil Dev (INDIA),63.257930200000004
H Masakadza (ZIM),63.23597
Mohammad Shahzad (AFG),62.67836019999999
JC Adams (WI),62.670606879207924
MS Atapattu (SL),62.450633599999996
KS More (INDIA),61.9139692
MG Bevan (AUS),61.5156846
DR Martyn (AUS),61.4551212
GJ Maxwell (AUS),61.233382999999996
ML Hayden (AUS/ICC),60.474755
KD Karthik (INDIA),59.856493
DJG Sammy (WI),59.51963780000001
SPD Smith (AUS),59.494860800000005
CL Cairns (ICC/NZ),58.853524799999995
Misbah-ul-Haq (PAK),58.705365799999996
MD Crowe (NZ),58.6803738
CO Browne (WI),57.39887887920791
SR Watson (AUS),57.035244600000006
Mahmudullah (BDESH),57.01118
KJ O'Brien (IRE),56.91219227920792
GA Hick (ENG),56.8727426
WTS Porterfield (IRE),56.8691132
A Ranatunga (SL),56.33702340000001
Mashrafe Mortaza (Asia/BDESH),55.3499984
LD Chandimal (SL),55.27075279999999
NLTC Perera (SL),55.2061322
S Dhawan (INDIA),55.13219099999999
DJ Cullinan (SA),55.12615687920792
AJ Finch (AUS),55.1101414
G Kirsten (SA),54.483207400000005
AL Logie (WI),54.30630947920792
DA Miller (SA),54.2381594
KA Pollard (WI),54.221305599999994
WPUJC Vaas (Asia/SL),53.818837
KS Williamson (NZ),53.404986
DL Haynes (WI),52.76203187920792
A Jadeja (INDIA),52.6301852
Mohammad Yousuf (Asia/PAK),51.98607899999999
RA Jadeja (INDIA),51.67839419999999
C Kieswetter (ENG),51.64835939999999
AJ Strauss (ENG),50.711085000000004
Wasim Bari (PAK),50.693577
DA Warner (AUS),49.831979000000004
MA Taylor (AUS),49.80956307920792
TD Paine (AUS),49.5271118
PV Simmons (WI),49.007121999999995
M Kaif (INDIA),48.9483652
Mohammad Nabi (AFG),48.9364562
RA Harper (WI),48.926940800000004
B Lee (AUS),48.3216174
Tamim Iqbal (BDESH),48.2730934
DM Jones (AUS),48.2150236
IR Bell (ENG),48.150823800000005
AD Mathews (SL),47.420272600000004
JM Anderson (ENG),47.3728396
AB Agarkar (INDIA),46.4541516
JDP Oram (NZ),45.5588218
JG Wright (NZ),45.4743028
WU Tharanga (Asia/SL),44.8173964
MN Samuels (WI),44.7743186
Shakib Al Hasan (BDESH),44.764011399999994
AT Carey (AUS),44.754612599999994
JR Murray (WI),44.70552947920792
P Utseya (ZIM),44.65433447920792
SC Williams (ZIM),44.58526147920792
JO Holder (WI),44.5671008
ME Trescothick (ENG),44.0234424
AP Gurusinha (SL),43.90129727920792
Aamer Sohail (PAK),43.76610747920792
KC Wessels (AUS/SA),43.64482087920791
RP Arnold (SL),42.93904807920792
