Player,Fielders_score
AC Gilchrist (AUS/ICC),282.2685
KC Sangakkara (Asia/ICC/SL),274.731
MV Boucher (Afr/SA),270.29229999999995
MS Dhoni (Asia/INDIA),232.3014
BB McCullum (NZ),165.3959
Moin Khan (PAK),154.12714000000003
IA Healy (AUS),135.6393
Mushfiqur Rahim (BDESH),130.1701
Rashid Latif (PAK),128.14793999999998
PJL Dujon (WI),127.36004000000001
JC Buttler (ENG),123.3827
D Ramdin (WI),123.22043999999998
BJ Haddin (AUS),115.96549999999999
RD Jacobs (WI),112.77774000000001
Q de Kock (SA),111.71560000000001
Kamran Akmal (PAK),110.88969999999999
AJ Stewart (ENG),107.5605
DJ Richardson (SA),102.73219999999999
A Flower (ZIM),101.6869
RS Kaluwitharana (SL),101.49194
R Dravid (Asia/ICC/INDIA),89.92859999999999
AB de Villiers (Afr/SA),88.2264
AC Parore (NZ),84.79173999999998
T Taibu (Afr/ZIM),83.7113
Sarfaraz Ahmed (PAK),83.34110000000001
RW Marsh (AUS),82.6719
NR Mongia (INDIA),82.5243
BRM Taylor (ZIM),81.24503999999999
MS Wade (AUS),75.67979999999999
L Ronchi (AUS/NZ),73.34289999999999
Khaled Mashud (BDESH),69.1646
DPMD Jayawardene (Asia/SL),66.46969999999999
NJ O'Brien (IRE),61.7408
Saleem Yousuf (PAK),59.532439999999994
SD Hope (WI),59.202799999999996
IDS Smith (NZ),58.0995
SR Tendulkar (INDIA),54.072900000000004
RT Ponting (AUS/ICC),52.2188
MJ Prior (ENG),50.588699999999996
ST Jayasuriya (Asia/SL),50.06229999999999
KS More (INDIA),49.3769
M Azharuddin (INDIA),49.2431
Mohammad Shahzad (AFG),48.677
TWM Latham (NZ),48.097699999999996
GO Jones (ENG/PNG),48.0646
HP Tillakaratne (SL),47.83504
Shahid Afridi (Asia/ICC/PAK),47.6293
M Muralitharan (Asia/ICC/SL),45.4094
TM Dilshan (SL),45.30199999999999
JH Kallis (Afr/ICC/SA),44.4294
Inzamam-ul-Haq (Asia/PAK),44.3442
Umar Akmal (PAK),44.0326
GC Wilson (IRE),43.78889999999999
Younis Khan (PAK),43.5479
CO Browne (WI),42.67304
SP Fleming (ICC/NZ),42.0313
CH Gayle (ICC/WI),41.4304
SR Waugh (AUS),40.9762
BC Lara (ICC/WI),40.7543
AR Border (AUS),40.333999999999996
LRPL Taylor (NZ),40.1356
V Kohli (INDIA),39.1625
SM Pollock (Afr/ICC/SA),38.8441
Wasim Akram (PAK),38.7714
C Kieswetter (ENG),38.538799999999995
Wasim Bari (PAK),38.3166
SC Ganguly (Asia/INDIA),38.199
PA de Silva (SL),37.068200000000004
CL Hooper (WI),36.666740000000004
TD Paine (AUS),36.57209999999999
Yuvraj Singh (Asia/INDIA),36.571799999999996
Shoaib Malik (PAK),36.1876
HH Gibbs (SA),35.6729
LD Chandimal (SL),35.591499999999996
ME Waugh (AUS),35.5273
JN Rhodes (SA),35.31564
MJ Clarke (AUS),35.313199999999995
KD Karthik (INDIA),35.251400000000004
DL Vettori (ICC/NZ),34.7691
JC Adams (WI),33.96194
CZ Harris (NZ),33.86734
JR Murray (WI),33.776340000000005
